date,code,name,city,county,fips,zipcode,x,y,confirmed_cases,new_confirmed_cases,active_cases,released_cases,resolved_cases,deaths,new_deaths
6/25/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,935,2,,17,,2,0
6/26/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,938,3,,17,,3,1
6/27/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,938,0,,18,,3,0
6/28/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,938,0,,18,,3,0
6/29/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,938,0,,18,,3,0
6/30/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,939,1,,19,,3,0
7/1/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,940,1,,19,,3,0
7/2/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,943,3,,19,,3,0
7/3/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,945,2,,19,,3,0
7/4/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,945,0,,19,,3,0
7/5/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,945,0,,21,,3,0
7/6/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,945,0,,21,,3,0
7/7/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,946,1,,21,,3,0
7/8/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,951,5,,23,,3,0
7/9/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,952,1,,23,,3,0
7/10/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,954,2,,23,,3,0
7/11/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,954,0,,23,,3,0
7/12/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,954,0,,23,,3,0
7/13/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,956,2,,23,,4,1
7/14/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,959,3,,23,,4,0
7/15/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,959,0,,23,,4,0
7/16/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,961,2,,23,,4,0
7/17/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1066,105,,23,,4,0
